cycle,basename,failure_type,gemini_name,gemini_const,gemini_party,manifest_name,manifest_const,manifest_party,manifest_aff_id,ocr_char_count,ocr_sample
karnataka-2023,DR___H_D_RANGANATH__850.pdf,both_empty,,,,DR|| H D RANGANATH,Kunigal,Indian National Congress,850,0,
karnataka-2023,D_C_GOWRISHANKAR_SWAMY__2081.pdf,empty_const,D C GOWRI SHANKAR SWAMY,,,D.C.GOWRISHANKAR SWAMY,Tumkur Rural,Janata Dal (Secular),2081,16894,                                                                                                                                                                                                                                                                                                            
karnataka-2023,D_K_SHIVAKUMAR__1184.pdf,raw,,,,D K SHIVAKUMAR,Kanakapura,Indian National Congress,1184,115259,INDIA NON JUDICIAL सत्यमेव जयते Government of Karnataka e-Stamp Certificate No. Certificate Issued Date Account Reference Unique Doc. Reference Purchased by Description of Document Description Consideration Price (Rs.) IN-KA41935982316626V : 15-Apr-2023 11:26 AM : NONACC (BK)/ kakscub08/ MALLESHWARA
karnataka-2023,G_K__VENKATASHIVAREDDY__4334.pdf,empty_const,G K VENKATASHIVAREDDY,,,G.K. VENKATASHIVAREDDY,Srinivaspur,Janata Dal (Secular),4334,15352,                                                                                                                                                                                                                                                                                                            
karnataka-2023,H_K__SURESH__HULLALLI_SURESH__1145.pdf,raw,,,,H.K. SURESH (HULLALLI SURESH),Belur,Bharatiya Janata Party,1145,44125,सत्यमेव जयते INDIA NON JUDICIAL Government of Karnataka e-Stamp Certificate No. Certificate Issued Date Account Reference Unique Doc. Reference Purchased by Description of Document Description Consideration Price (Rs.) First Party Second Party Stamp Duty Paid By Stamp Duty Amount(Rs.) IN-KA398635167
karnataka-2023,H_M_GANESH_PRASAD__27.pdf,empty_const,H M GANESHPRASAD,,,H.M.GANESH PRASAD,Gundlupet,Indian National Congress,27,21438,                                                                                                                                                                                                                                                                                                            
karnataka-2023,H__A__IQBAL_HUSSAIN__659.pdf,raw,,,,H. A. IQBAL HUSSAIN,Ramanagaram,Indian National Congress,659,38201,INDIA NON JUDICIAL सत्यमेव जयते Government of Karnataka A IQBAL HUSSAIN PAIONA *TAS NOBZ HUSSAIN HAIORAL Certificate No. Certificate Issued Date Account Reference e-Stamp ORAL HUSSAIN IN-KA41216519572776V 125 JAN TOB Unique Doc. Reference Purchased by AL Description of Document Description AS Consid
karnataka-2023,IQBAL_ANSARI__2457.pdf,both_empty,,,,IQBAL ANSARI,Gangawati,Indian National Congress,2457,0,
karnataka-2023,KELACHANDRA_JOSEPH_GEORGE__1457.pdf,raw,,,,KELACHANDRA JOSEPH GEORGE,Sarvagnanagar,Indian National Congress,1457,27243,                                                                                                                                                                                                                                                                                                            
karnataka-2023,K_R_SRIDHARA__4338.pdf,raw,,,,K.R.SRIDHARA,B.T.M Layout,Bharatiya Janata Party,4338,47983,INDIA NON JUDICIAL सत्यमेव जयते Government of Karnataka KSRIDHARA SA KR SRIDHARA KRSRE AKASHARA KESIHARA KR BR e-Stamp KNMR SPHONARY KIS ☐ Certificate No. IN-KA43427596159468V SEWMARA KRS Certificate Issued Date : 17-Apr-2023 02:01 PM ARA KRB RAHBARCA T NONACC (FI)/kacrsf108/ KORAMAGALA9/ KAJY Accou
karnataka-2023,MANIKANTA_RATHOD__4641.pdf,empty_const,MANIKANTA NARENDRA RATHOD,,,MANIKANTA RATHOD,Chittapur,Bharatiya Janata Party,4641,33838,                                                                                                                                                                                                                                                                                                            
karnataka-2023,M_T_KRISHNAPPA__309.pdf,empty_const,M T KRISHNAPPA,,,M.T.KRISHNAPPA,Turuvekere,Janata Dal (Secular),309,22810,                                                                                                                                                                                                                                                                                                            
karnataka-2023,N_NAGARAJU__1019.pdf,both_empty,,,,N NAGARAJU,Hosakote,Bharatiya Janata Party,1019,0,
karnataka-2023,N_R__SANTHOSH__525.pdf,empty_const,NRSANTHOSH,,,N.R. SANTHOSH,Arsikere,Janata Dal (Secular),525,4825,                                                                                                                                                                                                                                                                                                            
karnataka-2023,N__CHALUVARAYASWAMY__1004.pdf,empty_const,N CHALUVARAYA SWAMY,,,N. CHALUVARAYASWAMY,Nagamangala,Indian National Congress,1004,27001,                                                                                                                                                                                                                                                                                                            
karnataka-2023,P_M_NARENDRASWAMY__2145.pdf,empty_const,P M NARENDRA SWAMY,,,P.M.NARENDRASWAMY,Malavalli,Indian National Congress,2145,4843,                                                                                                                                                      A                                                                             \ÊWe                                                                    
karnataka-2023,RAJKUMAR_PATIL_TELKUR__2649.pdf,empty_const,RAJKUMAR VEERASHETTAPPA SEDAM,,,RAJKUMAR PATIL TELKUR,Sedam,Bharatiya Janata Party,2649,15563,                                                                                                                                                                                                                                                                  ffi-                                      
karnataka-2023,R_K_RAMESH__1317.pdf,empty_const,RK RAMESH,,,R K RAMESH,Bangalore South,Indian National Congress,1317,7024,                                                                                                                                                                                                                                                                                                            
karnataka-2023,R__NARENDRA__1297.pdf,raw,,,,R. NARENDRA,Hanur,Indian National Congress,1297,26337,सत्यमेव जयते GRAJUGODA DEFLATE GRADOV Certificate No. 3 RAJUGOWDA ATE GRA Certificate Issued Date RAJUGO Account Reference LATE G RAJ INDIA NON JUDICIAL Government of Karnataka Rs. 10 CHANICALCITRICTANCE ARCI SHGIL RHCIO SHGIL BHĊIL BMCIL SHOIU SHO e-Stamp RA SOIN DE LATE GRAUGOWDA DODDINDUVAD RNA P
karnataka-2023,SHILPA_RAGHAVENDRA__569.pdf,empty_const,SHILPA PATIL,,bjp,SHILPA RAGHAVENDRA,Sandur,Bharatiya Janata Party,569,4757,                                                                                                                                                                                                                                                                                                            
karnataka-2023,SIDDARAMAIAH__2721.pdf,both_empty,,,,SIDDARAMAIAH,Varuna,Indian National Congress,2721,0,
karnataka-2023,S__KUMARA_BANGARAPPA__517.pdf,empty_const,S KUMAR BANGARAPPA,,,S. KUMARA BANGARAPPA,Sorab,Bharatiya Janata Party,517,4715,                                                                                                                                                                                                                                                                                                            
karnataka-2023,UJANESHWAR_BASAVANNAPPA_BANAKAR__3354.pdf,raw,,,,UJANESHWAR BASAVANNAPPA BANAKAR,Hirekerur,Indian National Congress,3354,25133,सत्यमेव जयते Certificate No. Certificate Issued Date Account Reference Unique Doc. Reference Purchased by Description of Document 1 INDIA NON JUDICIAL Government of Karnataka e-Stamp IN-KA43970629110538V 18-Apr-2023 10:22 AM NONACC (FI)/ kacardb08/ HIREKERUR/KA-HV SUBIN-KAKACARDB0870872261042530V : 
karnataka-2023,V_SUNILL_KUMAR__15.pdf,empty_const,V SUNIL KUMAR,,,V SUNILL KUMAR,Karkal,Bharatiya Janata Party,15,19596,"                                                                                                                                             /r                                                                                  2   lt,),+t                                                                "
kerala-2026,ADVOCATE_A_M_ARIFF__830.pdf,empty_const,A M Arifi,,,ADVOCATE A.M.ARIFF,ALUVA,Communist Party of India (Marxist),830,28026,                                                                                                                                                                                                                                                                                                            
kerala-2026,JAYANTHI_RAJAN__2770.pdf,empty_const,JAYANTHI C R,,,JAYANTHI RAJAN,KUTHUPARAMBA,Indian Union Muslim League,2770,25129,"                                                                                                                                                            *'di;,                                                                              ail""                                                        "
kerala-2026,KALLATRA_MAHIN__1572.pdf,raw,,,,KALLATRA MAHIN,KASARAGOD,Indian Union Muslim League,1572,38173,MANH -നോൺ ജുഡീഷ്വൽ ₹200 കേരള സർക്കാർ GOVERNMENT OF KERALA e-Stamp NON JUDICIAL 200 e-Stamp Serial Number: 202526000008760136 Govt. Reference No.(GRN) Purpose Amount of Stamp Paper Purchased in Numeral Amount of Stamp Paper Purchased in Words Stamp Paper Purchased on First Party Name First Party Addr
kerala-2026,K_SURENDRAN__920.pdf,raw,,,,K SURENDRAN,MANJESHWAR,Bharatiya Janata Party,920,79927,IDRAN KSU നോൺ ജുഡീഷ്യൽ 200 കേരള സർക്കാർ GOVERNMENT OF KERALA e-Stamp NON JUDICIAL 200 ENDRAH SU RENDRAN e-Stamp Serial Number: 202526000008722068 Govt. Reference No. (GRN) Purpose SERENDRE KL051601997202526EAN Amount of Stamp Paper Purchased in Numeral Affidavit : *200 Verification Code: 945705661V 
kerala-2026,K__MURALEEDHARAN__875.pdf,empty_const,K Muraleedharan,,,K. MURALEEDHARAN,VATTIYOORKAVU,Indian National Congress,875,30455,നോൺ ജുഡീഷ്യൽ NON JUDICIAL 200 കേരള സർക്കാർ GOVERNMENT OF KERALA e-Stamp 200 e-Stamp Serial Number: 202526000008704032 Govt. Reference No. (GRN) Purpose Amount of Stamp Paper Purchased in Numeral Amount of Stamp Paper Purchased in Words Stamp Paper Purchased on First Party Name First Party Address Se
kerala-2026,MUHAMMED_MUHSIN__M__K_MANJERIKUNNATH__2913.pdf,empty_const,Muhammar Grimm MK,,,MUHAMMED MUHSIN. M. K MANJERIKUNNATH,PATTAMBI,Independent,2913,17455,"__ ഫാറം 26 (ചട്ടം 4 എ കാണുക) 050 ..(നിയോജക മണ്ഡലത്തിന്റെ പേര്) നിയോജക മണ്ഡലത്തിൽ നിന്നും നാ. സഭയുടെ പേര്)-ലേയ്ക്കുള്ള തിരഞ്ഞെടുപ്പിനായി സ്ഥാനാർത്ഥി, വരണാധികാരി മുൻപാകെ നാമനിർദ്ദേശ പത്രികയോടൊപ്പം സമർപ്പിക്കേണ്ട സത്യവാങ്മൂലം. ഭാഗം എ മേൽപ്രകാരമുള്ള തിരഞ്ഞെടുപ്പിലെ ഒരു സ്ഥാനാർത്ഥിയായ MK a 3.3]). (പൂർണ്ണ"
kerala-2026,M_S_VISWANATHAN__1085.pdf,empty_const,VISWANATHAN M S,,,M S VISWANATHAN,SULTHANBATHERY,Communist Party of India (Marxist),1085,20371,20 നോൺ ജുഡീഷ്വൽ 100 കേരള സർക്കാർ GOVERNMENT OF KERALA e-Stamp be NON JUDICIAL 100 e-Stamp Serial Number: 202526000008743321 Govt. Reference No.(GRN) Purpose Amount of Stamp Paper Purchased in Numeral Amount of Stamp Paper Purchased in Words Stamp Paper Purchased on First Party Name First Party Addre
kerala-2026,M__M__NASEER__4065.pdf,empty_const,Naseer,,,M. M. NASEER,CHADAYAMANGALAM,Indian National Congress,4065,24770,                                                                                                                                                                                                                                                                                                            
kerala-2026,O_S_AMBIKA__910.pdf,both_empty,,,,O.S AMBIKA,ATTINGAL,Communist Party of India (Marxist),910,13633,                                                                                                                                                                                                                                                                                                            
kerala-2026,PREETHI_KONCHATH__1849.pdf,empty_name,,Kottakkal,,PREETHI KONCHATH,KOTTAKKAL,Communist Party of India (Marxist),1849,2973,ethere state & time teste the sam Tar defon h or before 1300px GOY NOTARY IV. RATHISH APEA OF PRACTICE TRU MAM KERALA Reg No 43180 boria: -10 INDEP A 12 ഭാഗം ബി മുതൽ (10) വരെ നൽകിയ വിശദവിവരങ്ങളുടെ സംഗ്രഹം സ്ഥാ OF 01/unlamajasal പൂർണ്ണമായ പൊയ് വിലാസം കുറ്റി 679571 DY നിയോജകണ്ഡലത്തിന് നമ്പറും പേരും 46
kerala-2026,P_T_AJAY_MOHAN__3697.pdf,empty_const,PT Ajay Mohan,,,P T AJAY MOHAN,KUNNAMKULAM,Indian National Congress,3697,22808,നോൺ ജുഡീഷ്യൽ 200 കേരള സർക്കാർ GOVERNMENT OF KERALA NON JUDICIAL 200 S Mohan PT Ajay PT Ajay e-Stamp e-Stamp Serial Number: 202526000008706091 by Mohan Govt. Reference No. (GRN) Mohan PTA Ajay Mohan an P Alay Moh Purpose PT Ajay Mohan Verification Code: 973928240V Ajay Mohan PT Ajay Moh KL05152951720
kerala-2026,SAJU_K_P__592.pdf,empty_name,,Rajani,,SAJU K P,THALASSERY,Indian National Congress,592,16739,"ഫാറം 26 (ചട്ടം 4 എ കാണുക) ..(നിയോജക മണ്ഡലത്തിന്റെ പേര്) നിയോജക മണ്ഡലത്തിൽ നിന്നും രജനി..(സഭയുടെ പേര്)-ലേയ്ക്കുള്ള തിരഞ്ഞെടുപ്പിനായി സ്ഥാനാർത്ഥി, വരണാധികാരി മുൻപാകെ നാമനിർദ്ദേശ പത്രികയോടൊപ്പം സമർപ്പിക്കേണ്ട സത്യവാങ്മൂലം. ഭാഗം എ മേൽപ്രകാരമുള്ള തിരഞ്ഞെടുപ്പിലെ ഒരു സ്ഥാനാർത്ഥിയായ AN 670676.. (പൂർണ്ണമായ "
kerala-2026,SALEEM_MADAVOOR__4385.pdf,both_empty,,,,SALEEM MADAVOOR,KODUVALLY,Independent,4385,11696,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,ABHIJEET_SHAH__ANKIT_BABA__2740.pdf,empty_const,P. M. A.,,,ABHIJEET SHAH (ANKIT BABA),Timarni,Indian National Congress,2740,13562,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,ABHILASH_PANDEY__1950.pdf,empty_const,Abhilash Pandey,,BJP,ABHILASH PANDEY,Jabalpur Uttar,Bharatiya Janata Party,1950,3523,                                                                                                                                                                                                                                                      IA                                                    
madhyapradesh-2023,ALOK_CHATURVEDI__PAJJAN_BHAIYA__3169.pdf,raw,,,,ALOK CHATURVEDI (PAJJAN BHAIYA),Chhatarpur,Indian National Congress,3169,41110,oists Chhatar Notory Chandla Public NOTORY OMPRAKASH PATEL (Adv) Reg No MP/1/01/CHANDLA CHHATARPUR 06/23/() 25/07/23 To 24/07/28 NOTA GOVE OFWARARIAL M.P.) Chanda Dishi PT NOTORY Chhatarpur OMPRAKASH PATEL (Adv) Reg No MP/11/01/CHANDLA (CHHATARPURI/06/21/() 25/07/23 To 24/07/28 (M.P.) NOTARIAL OF MI
madhyapradesh-2023,ANIL_JAIN__3750.pdf,empty_const,Anil Jain,,,ANIL JAIN,Niwari,Bharatiya Janata Party,3750,16069,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,ARCHANA_DIDI__1543.pdf,empty_const,Archana Chitnis,,,ARCHANA DIDI,Burhanpur,Bharatiya Janata Party,1543,17395,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,BALKRISHN_PATIDAR__701.pdf,both_empty,,,,BALKRISHN PATIDAR,Khargone,Bharatiya Janata Party,701,2364,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,BAPU_SINGH_TANWAR__2905.pdf,empty_const,Bapu Singh Tanwar,,,BAPU SINGH TANWAR,Rajgarh,Indian National Congress,2905,4850,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,BHANU_BHURIYA__784.pdf,empty_const,BunYa,,CKPs Bqss B,BHANU BHURIYA,Jhabua,Bharatiya Janata Party,784,11697,                                                                                                                                                                                                                                                                                J                           
madhyapradesh-2023,BODHSINGH_BHAGAT__1794.pdf,empty_const,Anandrao Tembhre,,,BODHSINGH BHAGAT,Katangi,Indian National Congress,1794,5220,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,CHANDA_SURENDRA_SINGH_GOUR__656.pdf,both_empty,,,,CHANDA-SURENDRA SINGH GOUR,Khargapur,Indian National Congress,656,1483,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,CHETAN_PREMNARAYAN_YADAV__1978.pdf,raw,,,,CHETAN PREMNARAYAN YADAV,Ujjain Dakshin,Indian National Congress,1978,21068,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,DEEPAK_MAHESH_JOSHI___PINTU__1220.pdf,empty_const,Deepak Mahesh Joshi Pintu,,,"DEEPAK MAHESH JOSHI "" PINTU """,Indore-3,Indian National Congress,1220,13519,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,DHARMENDRA_BHAV_SINGH_LODHI__2790.pdf,both_empty,,,,DHARMENDRA BHAV SINGH LODHI,Jabera,Bharatiya Janata Party,2790,0,
madhyapradesh-2023,DR_SATISH_SIKARWAR__684.pdf,empty_const,Satish S Gwalior,,,DR SATISH SIKARWAR,Gwalior East,Indian National Congress,684,12006,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,DR__GOVIND_SINGH__1230.pdf,raw,,,,DR. GOVIND SINGH,Lahar,Indian National Congress,1230,20798,भारतीय गैर न्यायिक एक सौ रुपये रु. 100 00100 100100100100 100100100100 CANCELLED CANCELLED NOTARIAL NOT NOTARIAL सत्यमेव जयते CANCELLED NOTARIAL REES NOTARIAL AMING VELCO • भारत IND OTAL CANCELLED 0010010010010 100100 0010 3380 Date 25/10/202 INDIA NON JU मध्य प्रदेश MADHYA PRADESH D.K. Shrivastava 
madhyapradesh-2023,DR__MOHAN_YADAV__4808.pdf,empty_const,DR. MOHAN YADAV,,,DR. MOHAN YADAV,Ujjain Dakshin,Bharatiya Janata Party,4808,15844,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,DR__VIJAY_ANAND_MARAVI__1503.pdf,empty_const,Pratibha,,,DR. VIJAY ANAND MARAVI,Bichhiya,Bharatiya Janata Party,1503,2596,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,DR__VIKRANT_BHURIA__2760.pdf,empty_const,ABT,,,DR. VIKRANT BHURIA,Jhabua,Indian National Congress,2760,17500,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,DR__YOGESH_PANDAGRE__1141.pdf,both_empty,,,,DR. YOGESH PANDAGRE,Amla,Bharatiya Janata Party,1141,0,
madhyapradesh-2023,ER__RAJENDRA_SHARMA__1227.pdf,empty_const,Vinod Kumar,,,ER. RAJENDRA SHARMA,Rewa,Indian National Congress,1227,15460,                                                                                                                                                                                                Registration and Stamp Department                                                                           
madhyapradesh-2023,GHANSHYAM_PIRONIYA__3285.pdf,both_empty,,,,GHANSHYAM PIRONIYA,Bhander,Bharatiya Janata Party,3285,14587,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,GHANSHYAM_SINGH__1320.pdf,empty_const,Ghanshyam Singh,,,GHANSHYAM SINGH,Sewda,Indian National Congress,1320,17234,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,GOLU_SHUKLA_RAKESH__1951.pdf,empty_const,Golu Shukla,,,GOLU SHUKLA RAKESH,Indore-3,Bharatiya Janata Party,1951,18438,                                                                                                    o                 TA&                                                       ! r**-                                       gTA               o                                                            
madhyapradesh-2023,HARI_SINGH_SAPRE__4553.pdf,empty_const,RAJNEESH KUMAR JAIN,,BJP,HARI SINGH SAPRE,Kurwai,Bharatiya Janata Party,4553,12888,                                                                                                                                                                        t                                                                                                             1fffiq{tT W  vr-q frqr
madhyapradesh-2023,HEERENDRA_SINGH_BUNTY_PEELAGHATA__1094.pdf,empty_const,Heerendra Singh Peelaghata,,,HEERENDRA SINGH BUNTY PEELAGHATA,Raghogarh,Bharatiya Janata Party,1094,5419,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,KAILASH_VIJAYVARGIYA__4924.pdf,empty_const,Kailash Vijayvargiya,,,KAILASH VIJAYVARGIYA,Indore-1,Bharatiya Janata Party,4924,15800,"                                                                                                                                                                                                                                                                                      qrrsnd'""rr''llqilt*-ff"
madhyapradesh-2023,KAMLESHWAR_INDRAJEET_KUMAR__1113.pdf,empty_const,Kamleshwar Patel,,,KAMLESHWAR INDRAJEET KUMAR,Sihawal,Indian National Congress,1113,14634,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,KAPIDHWAJ_SINGH__BHAIYA_SAHEB__3092.pdf,empty_const,KAPIL DHWAJ SINGH,,,"KAPIDHWAJ SINGH ""BHAIYA SAHEB""",Gurh,Indian National Congress,3092,7162,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,KAWRE_RAMKISHOR__NANO__1812.pdf,both_empty,,,,KAWRE RAMKISHOR (NANO),Paraswada,Bharatiya Janata Party,1812,6375,                                                                                                                                                                                                                                                                         Registration and Stamp Department  
madhyapradesh-2023,LAKHAN_SINGH_PATEL__752.pdf,empty_const,Lakhan Singh Patel,,,LAKHAN SINGH PATEL,Narsingpur,Indian National Congress,752,2348,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,LAKHAN_SINGH_YADAV__1714.pdf,empty_const,LAKHAN SINGH YADAV,,,LAKHAN SINGH YADAV,Bhitarwar,Indian National Congress,1714,11918,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,LAXMAN_SINGH_DINDOR__5564.pdf,empty_const,LAXMAN SINGH ROY,,,LAXMAN SINGH DINDOR,Ratlam Rural,Indian National Congress,5564,3012,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,MADHU_BHAU_BHAGAT__742.pdf,empty_const,DILIP TEMBHRE,,,MADHU BHAU BHAGAT,Paraswada,Indian National Congress,742,3215,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,MAHENDRA_HARDIA__1696.pdf,empty_const,Mahendra Hardia,,,MAHENDRA HARDIA,Indore-5,Bharatiya Janata Party,1696,16818,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,MAHESH_PARMAR__820.pdf,empty_name,,Tarana 214,,MAHESH PARMAR,Tarana,Indian National Congress,820,3794,                                                                                                      R Y                                                                                                                Sorial Mo.A.8..at.lol2042                      JAR                                 
madhyapradesh-2023,MALINI_LAXMANSINGH_GAUR__2471.pdf,empty_const,SUBHASH N. MAL KUSHWAH,,,MALINI LAXMANSINGH GAUR,Indore-4,Bharatiya Janata Party,2471,12041,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,MANOJ_NIRBHAY_SINGH_PATEL__2604.pdf,empty_const,MANOJ PATEL,,,MANOJ NIRBHAY SINGH PATEL,Depalpur,Bharatiya Janata Party,2604,3789,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,MATHURA_LAL_DAMAR__1433.pdf,empty_const,MATHURALAL DAMAR,,BJP,MATHURA LAL DAMAR,Ratlam Rural,Bharatiya Janata Party,1433,4510,                                                                                                                                                                                                                                                                         M(MAM?                             
madhyapradesh-2023,MAYA_SINGH__MAMI_JI__807.pdf,empty_const,Maya Singh,,BJP,MAYA SINGH (MAMI JI),Gwalior East,Bharatiya Janata Party,807,13518,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,MOHAN_SINGH_RATHORE__1847.pdf,empty_const,R. K. HIVHARE,,,MOHAN SINGH RATHORE,Bhitarwar,Bharatiya Janata Party,1847,16564,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,MUKESH_TANDAN__4876.pdf,empty_const,Rakesh Kumar Yadav,,,MUKESH TANDAN,Vidisha,Bharatiya Janata Party,4876,15771,                                                                    I                                                                                    a                                                                                    a                                                         iffi
madhyapradesh-2023,NAGENDRA_SINGH__2033.pdf,empty_const,N Singh,,,NAGENDRA SINGH,Gurh,Bharatiya Janata Party,2033,8838,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,NARAYAN_SINGH_PANWAR__1098.pdf,both_empty,,,,NARAYAN SINGH PANWAR,Biaora,Bharatiya Janata Party,1098,16507,                                 I                                                                                                                                                   eqlsTfrftf;s                                                                                                           
madhyapradesh-2023,NARAYAN_SINGH_PATTA__1337.pdf,empty_const,NARAYAN SINGH PATTA,,,NARAYAN SINGH PATTA,Bichhiya,Indian National Congress,1337,4649,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,NARENDRA_SINGH_TOMAR__2270.pdf,empty_const,NARENDRA SINGH TOMAR,,BJP,NARENDRA SINGH TOMAR,Dimani,Bharatiya Janata Party,2270,15377,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,NEERAJ_DADA__1461.pdf,empty_const,NEERAJ BAGHEL,,,NEERAJ DADA,Vijayraghavgarh,Indian National Congress,1461,2530,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,NEERAJ_SINGH_LODHI__1522.pdf,empty_const,Neeraj Singh Thakur,,,NEERAJ SINGH LODHI,Bargi,Bharatiya Janata Party,1522,4907,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,NIRMALA_DILEEPSINGH_BHURIA__1046.pdf,empty_const,Nirmala Bhuria,,,NIRMALA DILEEPSINGH BHURIA,Petlawad,Bharatiya Janata Party,1046,2524,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,NISHANK_JAIN__2859.pdf,both_empty,,,,NISHANK JAIN,Basoda,Indian National Congress,2859,0,
madhyapradesh-2023,PADMESH_GAUTAM__2381.pdf,empty_const,Padmesh Gautam,,,PADMESH GAUTAM,Deotalab,Indian National Congress,2381,14169,                                                                                                                                                                                                  Registration and Stamp Department                                         EGISTRAiION AND $IAfuiPS DEPART 
madhyapradesh-2023,PHOOL_SINGH_BARAIYA__2817.pdf,empty_const,HIVDUYOISH,,,PHOOL SINGH BARAIYA,Bhander,Indian National Congress,2817,14754,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,PRADEEP_AGRAWAL__2558.pdf,empty_const,Pradeep Agarwal,,,PRADEEP AGRAWAL,Sewda,Bharatiya Janata Party,2558,12950,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,PRADEEP_PATEL__1805.pdf,empty_const,Pradeep Kumar Patel,,,PRADEEP PATEL,Mauganj,Bharatiya Janata Party,1805,7481,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,PRAHLAD_SINGH_PATEL__856.pdf,empty_const,Prahlad Singh Patel,,,PRAHLAD SINGH PATEL,Narsingpur,Bharatiya Janata Party,856,4071,                                                                                                                                                                                                                                                         HIRGIINRIIe                                        
madhyapradesh-2023,PURUSHOTTAM_DANGI__2551.pdf,empty_const,Purshottam Dangi,,,PURUSHOTTAM DANGI,Biaora,Indian National Congress,2551,17363,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,PUSHPRAJ_SINGH__1180.pdf,empty_const,IIcq Y(YT,,,PUSHPRAJ SINGH,Sohagpur,Indian National Congress,1180,12977,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,P_L_RAJA_MANDHWANI__3423.pdf,empty_const,P L Raja Mandhwani,,,P L RAJA MANDHWANI,Indore-4,Indian National Congress,3423,15091,                                                                       T                                                                                                                                                                                                                                    
madhyapradesh-2023,RAHUL_SINGH_LODHI__1076.pdf,empty_const,Rahul Singh Lodhi,,,RAHUL SINGH LODHI,Khargapur,Bharatiya Janata Party,1076,5596,                                                                                                                                                                                                                                                         oÇANCELED                                          
madhyapradesh-2023,RAJENDRA_SHUKLA__694.pdf,empty_const,RAJENDRA SHUKLA,,,RAJENDRA SHUKLA,Rewa,Bharatiya Janata Party,694,6158,                                                                                                                                                                                                _聰                                                                                      gi繊恥tO準  嬰d.Stattp  
madhyapradesh-2023,RAJKUMAR_PATEL__1402.pdf,empty_const,HEMENDRA TIWARI,,Congress,RAJKUMAR PATEL,Bhojpur,Indian National Congress,1402,3736,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,RAKESH_GIRI__765.pdf,empty_const,Rakesh Giri,,,RAKESH GIRI,Tikamgarh,Bharatiya Janata Party,765,6456,                                                                                                                                                                                                                            99)2   0%                                                                       
madhyapradesh-2023,RAKESH_SINGH__1217.pdf,empty_const,Rakesh Singh,,Bharatiya Janata Party,RAKESH SINGH,Jabalpur Paschim,Bharatiya Janata Party,1217,2998,                                                                                                                                                                                                                                                                                                            
madhyapradesh-2023,RAMESH_MENDOLA__3156.pdf,empty_const,Rameshmendola,,,RAMESH MENDOLA,Indore-2,Bharatiya Janata Party,3156,17645, /                                                                                                                                                                                                                                                                                                          
madhyapradesh-2023,RANI_AHIRWAR__1082.pdf,empty_const,RANI AHIRWAR,,,RANI AHIRWAR,Kurwai,Indian National Congress,1082,13370,                                                                                                                                                                                                  Registration and Stamp Department                                                                         
madhyapradesh-2023,SAHAB_SINGH_GURJAR__1751.pdf,both_empty,,,,SAHAB SINGH GURJAR,Gwalior Rural,Indian National Congress,1751,0,
madhyapradesh-2023,SANJAY_SHAH__MAKDAI__1093.pdf,raw,,,,"SANJAY SHAH ""MAKDAI""",Timarni,Bharatiya Janata Party,1093,21531,"                                                                                                                                                                                                                                                                           Il :iir*: jlty A x L r,R#€L*ratrt"
