seq,candidate_name,notes
277,LOKENDRA KALYAN SINGH,name_from_filename (Part A regex missed); no_movable_totals
278,LOKESH KUMAR MASTERJI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
279,MADHU BALA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
280,MAHAVIR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
281,MAHAVIR SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
282,MAHENDER CHAUDHARY,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
283,MAHENDER KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
284,MAHENDER SINGH RATHOR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
285,MAHESH BANSAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
286,MAHESH DUBEY,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
287,MAHESH KUMAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
288,MAHINDER YADAV,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
289,MALIK NEYAZ AHMAD,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
290,MANGESH TYAGI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
291,MANGE RAM,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
292,MANGE RAM SANGWAN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
293,MANISH CHAUDHARY,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
294,MANISH SISODIA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
295,MANI RAM,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
296,MANJEET SINGH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
297,MANJINDER SINGH SIRSA,name_from_filename (Part A regex missed); no_pan; no_movable_totals
298,MANOJ,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
299,MANOJ KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
300,MANOJ KUMAR JINDAL,name_from_filename (Part A regex missed); movable_self_only; no_pending_cases_count
301,MANOJ KUMAR SHOKEEN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
302,MANOJ KUMAR TYAGI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
303,MANU GAUTAM,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
304,MAYANK MEHTA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
305,MD HAROON,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
306,MD INJAMAMUL HASSAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
307,MD KHALID,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
308,MD NAVEEN,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
309,MD NAZIR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
310,MD  RAHMAT ALI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
311,MEENAKSHI KUMARI,name_from_filename (Part A regex missed); movable_self_only; no_pending_cases_count
312,MEGHNAD S,name_from_filename (Part A regex missed); movable_self_only; no_pending_cases_count
313,MEHAR CHARAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
314,MOAZAM KHAN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
315,MOHAMMAD ABDULLAH ANSARI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
316,MOHAMMAD AHMED SAIFI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
317,MOHAMMAD MURSALEEN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
318,MOHAN LAL BHARDWAJ,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
319,MOHAN SINGH BISHT,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
320,MOHD ISHRAQ KHAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
321,MOHD ISLAM,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
322,MOHD JAVED,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
323,MOHD NAZIR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
324,MOHD OJER,name_from_filename (Part A regex missed); movable_self_only; no_pan; no_pending_cases_count
325,MOHD SHAFI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
326,MOHD USMAN BAKHSH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
327,MOHD WAQAR CHOUDHARY,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
328,MOHD ZAKIULLAH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
329,MOHD ZUBAIR MALIK,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
330,MOHD  SHADAB,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
331,MOHD  TAHIR HUSSAIN,name_from_filename (Part A regex missed); no_pan; no_movable_totals
332,MOHD  USMAN,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
333,MOHINDER GOYAL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
334,MOHINDER SINGH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
335,MONIS KURESHI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
336,MUDIT AGARWAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
337,MUKESH JAIN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
338,MUKESH KUMAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
339,MUKESH KUMAR AHLAWAT,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
340,MUKESH KUMAR GOEL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
341,MUKESH PRASAD,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
342,MUKESH SHARMA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
343,MULAYAM SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
344,NAMAHA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
345,NAMIT KUMAR GAUTAM,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
346,NAND LAL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
347,NARAYAN DUTT SHARMA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
348,NARENDER,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count
349,NARENDER SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
350,NARENDER SINGH PANWAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
351,NARESH KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
352,NASEEM USMAN,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
353,NASIRUDDIN GAURI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
354,NAVEEN CHAUDHARY  DEEPU,name_from_filename (Part A regex missed); no_pending_cases_count
355,NAVEEN KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
356,NAVEEN RAM,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
357,NEELAM PAHALWAN,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
358,NEELAM SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
359,NEERAJ,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
360,NEERAJ BASOYA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
361,NEERAJ CHOURASIYA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
362,NEETU SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
363,NEYAZ KHAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
364,NIKHIL KUMAR PIPAL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
365,NIRAJ KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
366,NISHANT SEHRAWAT,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
367,NISHTHA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
368,NITIN GARG,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
369,NITIN MITTAL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
370,NITYA NAND SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
371,NIYATI CHOUDHARY,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
372,NIZAMUDDIN KHAN,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
373,OM PRAKASH GUPTA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
374,OM PRAKASH SHARMA,name_from_filename (Part A regex missed); movable_self_only; no_pending_cases_count
375,OM SHANKAR PANDEY,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
376,PANKAJ GUPTA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
377,PANKAJ JAGYA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
378,PANKAJ KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
379,PANKAJ KUMAR SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
380,PANKAJ SHARMA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
381,PARAG JAIN,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
382,PARDEEP,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
383,PARDEEP KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
384,PARDEEP MITTAL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
385,PARDUYMN SINGH RAJPUT,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
386,PARMOD KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
387,PARTEEK GUPTA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
388,PARVEEN CHAUHAN,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
389,PARVEEN CHOUDHRY,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
390,PARVEEN KUMAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
391,PARVEEN KUMAR JAIN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
392,PARVESH SAHIB SINGH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
393,PARVINDER SINGH ALIAS P S BAWA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
394,PAWAN CHOUDHRY,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
395,PAWAN GARG,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
396,PAWAN SHARMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
397,PERMILA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
398,POONAM MAINI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
399,POONAM SHARMA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
400,POSH BALYAN,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
401,PRABHAT KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
402,PRADEEP KUMAR UPMANYU,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
403,PRAKASH CHAND,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
404,PRAKASH CHANDRA JOSHI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
405,PRAKASH SRIVASTAV,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
406,PRAMILA TOKAS,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
407,PRAMOD,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
408,PRASHANT CHAUHAN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
409,PRAVEEN KUMAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
410,PRAVEEN KUMAR BHARTI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
411,PRAVEEN NIMESH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
412,PRAVESH RATN,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
413,PREETAM CHAND,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
414,PREETI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
415,PREETI JITENDER TOMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
416,PREM BALLABH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
417,PREM CHAND,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
418,PREM CHAUHAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
419,PREM PAL SINGH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
420,PRITAM SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
421,PRIYA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
422,PRIYANKA GAUTAM,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
423,PUNAM PANDEY,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
424,PUNARDEEP SINGH SAWHNEY  SABBY,name_from_filename (Part A regex missed); movable_self_only; no_pan; no_pending_cases_count
425,PUSHPA SINGH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
426,QAMAR ALI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
427,RAAJ KUMAR ANAND,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
428,RAGHUVINDER SHOKEEN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
429,RAGHVINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
430,RAGINI NAYAK,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
431,RAHISUDDIN AHMAD,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
432,RAHUL KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
433,RAHUL RAI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
434,RAHUL TIWARI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
435,RAI SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
436,RAJAN SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
437,RAJA RAM,name_from_filename (Part A regex missed); movable_self_only; no_pending_cases_count
438,RAJBIR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
439,RAJENDER,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
440,RAJENDER SINGH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
441,RAJENDER SINGH TANWAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
442,RAJENDRA KUMAR PAL,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
443,RAJESH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
444,RAJESH CHAUHAN,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
445,RAJESH GUPTA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
446,RAJESH KUMAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
447,RAJESH KUMAR GUPTA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
448,RAJESH KUMAR LOHIYA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
449,RAJESH KUMAR YADAV,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
450,RAJESH LILOTHIA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
451,RAJIV BHRIGUKUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
452,RAJIV CHAUDHARY,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
453,RAJIV KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
454,RAJIV KUMAR BABBAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
455,RAJKUMAR BHARTI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
456,RAJNEESH KUMAR JHA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
457,RAJNI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
458,RAJNI SHARMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
459,RAJU NIGAM,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
460,RAJU RICHARIYA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
461,RAJ KARAN KHATRI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
462,RAJ KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
463,RAJ KUMARI DHILLON,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
464,RAJ KUMAR BHATIA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
465,RAJ KUMAR CHAUHAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
466,RAKESH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
467,RAKESH RANJAN SHRIVASTAV,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
468,RAKESH SAGAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
469,RAKHI BIRLA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
470,RAMBIR SHOKEEN,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
471,RAMESHWAR MAHTO,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
472,RAMESH ADVOCATE,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
473,RAMESH BIDHURI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
474,RAMESH JAGANNATH SHAH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
475,RAMESH PAHELWAN,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
476,RAMSWAROOP SAMRIA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
477,RAM AVTAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
478,RAM BAHADUR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
479,RAM NIWAS,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
480,RAM RAJ SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
481,RAM SAJIVAN,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
482,RAM SINGH NETAJI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
483,RANDHIR KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
484,RANDHIR SINGH TANDI,name_from_filename (Part A regex missed); no_movable_totals
485,RANJEET,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
486,RANJEET KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
487,RANJEET VERMA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
488,RATAN TYAGI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
489,RAVI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
490,RAVINDER INDRAJ SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
491,RAVINDER KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
492,RAVINDER SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
493,RAVINDER SINGH NEGI  RAVI NEGI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
494,RAVINDER SINGH RAWAT,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
495,RAVINDRA SINGH RAVIYODAYA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
496,RAVI KANT,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
497,RAVI PARTAP RAO,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
498,RAVI RATHORE,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
499,REKHA GUPTA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
500,REKHA SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
501,RICHA KUMARI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
502,RINA DEVI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
503,RIZWANA KHATOON,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
504,ROHIT,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
505,ROHIT CHOUDHARY,name_from_filename (Part A regex missed); no_pan; no_movable_totals
506,ROHIT KASHYAP,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
507,ROHTASH KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
508,ROMAN RASHID,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
509,ROOP SINGH AHIRWAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
510,R  C  SHARMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
511,SABIR KHAN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
512,SACHIN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
513,SADRE ALAM,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
514,SAGAR TANHA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
515,SAHI RAM,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
516,SANAULLAH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
517,SANDEEP DIKSHIT,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
518,SANDEEP SEHRAWAT,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
519,SANDHIYA TIWARI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
520,SANGEETA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
521,SANGHA NAND BAUDDH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
522,SANGH MITRA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
523,SANGH PRIYA SIDDHARTHA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
524,SANJAY,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
525,SANJAYA KUMAR YADAV,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
526,SANJAY GOYAL,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
527,SANJAY MISHRA  SITARAM,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
528,SANJAY NEGI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
529,SANJAY RAWAT,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
530,SANJAY YADAV ADVOCATE,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
531,SANJEEV JHA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
532,SANJEEV KUMAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
533,SANJEEV KUMAR RANA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
534,SANTOSH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
535,SANTOSH KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
536,SANTOSH RAI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
537,SARAVANAN,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
538,SARITA SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
539,SAROJ BALA,name_from_filename (Part A regex missed); no_pan; no_movable_totals
540,SATENDER SHARMA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
541,SATISH JAIN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
542,SATISH KUMAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
543,SATISH KUMAR GULLIYA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
544,SATISH KUMAR LUTHRA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
545,SATISH UPADHYAY,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
546,SATPAL,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
547,SATYENDAR JAIN,name_from_filename (Part A regex missed); no_estamp_cert; no_movable_totals
548,SAURABH BHARADWAJ,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
549,SAURABH GUPTA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
550,SEEMA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
551,SEWA DASS,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
